sku;catalog_desc;id_product;similar_desc;elastic_score;normalize_score;preco_medio;categoria;marca;cor;atributo_1;atributo_2;atributo_3;atributo_4;atributo_5;atributo_6
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;100398376;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;37.998543;100.0;638.69;BASES PARA CAMA BOX;NAO INFORMADO;PRETA;NAO INFORMADO;SIM;CASAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;102966780;BASE PARA CAMA BOX CASAL ERICA COM BAU TABACO;35.611538;93.7181670360361;674.16;BASES PARA CAMA BOX;NAO INFORMADO;TABACO;NAO INFORMADO;SIM;CASAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;126479691;BASE P CAMA BOX CASAL ERICA C BAU PRETO;33.679085;88.63256941193772;672.09;BASES PARA CAMA BOX;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;CASAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;84120781;BASE PARA CAMA BOX CASAL MARTIN PREMIUM COM BAU 47X138X188 PRETA;31.854876;83.83183534168666;701.62;BASES PARA CAMA BOX;MARTIN PREMIUM;PRETA;47CM X 138CM X 188CM;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;111851819;BASE PARA CAMA BOX CASAL MADELEINE COM BAU 47X138X188 PRETA;31.852266;83.8249666572742;630.45;BASES PARA CAMA BOX;NAO INFORMADO;PRETA;47CM X 138CM X 188CM;SIM;CASAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;55920421;BASE PARA CAMA BOX CASAL MARTIN PREMIUM COM BAU CORINO 47X138X188 PRETA;31.224089;82.1718059031895;846.68;BASES PARA CAMA BOX;MARTIN PREMIUM;PRETA;47CM X 138CM X 188CM;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;28261142;BASE PARA CAMA BOX CASAL PREMIUM COM BAU CORINO 47X138X188 PRETA;31.17049;82.03075049482818;736.07;BASES PARA CAMA BOX;NAO INFORMADO;PRETA;47CM X 138CM X 188CM;SIM;CASAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;94654470;BASE PARA CAMA BOX QUEEN MADELEINE COM BAU 45X158X198 PRETA;30.645212;80.64838696578445;643.66;BASES PARA CAMA BOX;NAO INFORMADO;PRETA;45CM X 158CM X 198CM;SIM;QUEEN;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;110710930;BASE PARA CAMA BOX SOLTEIRO MACI COM BAU 45X88X188 PRETA;30.645212;80.64838696578445;772.79;BASES PARA CAMA BOX;NAO INFORMADO;PRETA;45CM X 88CM X 188CM;SIM;SOLTEIRO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
VA979BE58RPXMOB-1051566;BASE PARA CAMA BOX CASAL ERICA COM BAU PRETA;94082338;BASE PARA CAMA BOX SOLTEIRO MABEL COM BAU 45X88X188 PRETA;30.645212;80.64838696578445;950.49;BASES PARA CAMA BOX;NAO INFORMADO;PRETA;45CM X 88CM X 188CM;SIM;SOLTEIRO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173BE70NMJMOB-771849;BASE PARA CAMA BOX CASAL GULDI COM BAU LINHO (47X138X188 CM) AZUL MARINHO;90595986;BASE PARA CAMA BOX CASAL GULDI COM BAU LINHO 47X138X188 CM AZUL MARINHO;52.468697;100.0;734.41;BASES PARA CAMA BOX;NAO INFORMADO;AZUL MARINHO;47CM X 138CM X 188CM;SIM;CASAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173BE70NMJMOB-771849;BASE PARA CAMA BOX CASAL GULDI COM BAU LINHO (47X138X188 CM) AZUL MARINHO;90496270;BASE PARA CAMA BOX QUEEN GULDI COM BAU LINHO 47X158X198 CM AZUL MARINHO;47.088478;89.74584979687985;773.26;BASES PARA CAMA BOX;NAO INFORMADO;AZUL MARINHO;47CM X 158CM X 198CM;SIM;QUEEN;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173BE70NMJMOB-771849;BASE PARA CAMA BOX CASAL GULDI COM BAU LINHO (47X138X188 CM) AZUL MARINHO;90496271;BASE PARA CAMA BOX SOLTEIRO GULDI COM BAU LINHO 47X88X188 CM AZUL MARINHO;47.088478;89.74584979687985;959.93;BASES PARA CAMA BOX;GULDI;AZUL MARINHO;47CM X 88CM X 188CM;SIM;SOLTEIRO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
